PanelName,ItemName,SensorID,Channel,Interval,ItemValue,ItemState,Units
Main Building,Apt 14 N,'000000002556,,12/14/2012,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 12:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 12:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 12:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 1:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 1:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 1:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 1:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 2:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 2:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 2:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 2:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 3:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 3:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 3:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 3:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 4:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 4:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 4:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 4:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 5:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 5:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 5:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 5:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 6:00:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 6:15:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 6:30:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 6:45:00 AM,76, ,°F
Main Building,Apt 14 N,'000000002556,,12/14/2012 7:00:00 AM,76, ,°F
